canonical_name,aliases,sector,entity_type,inclusion_reasons,profile_summary,total_donations_gel,first_donation_date,last_donation_date,donation_count,donation_details,beneficial_owner,beneficial_owner_english,ownership_chain,registry_id,registry_official_name,registry_status,registry_address,has_allegations,allegation_count,allegation_types,allegation_details,allegation_sources,state_procurement_gel,state_contracts_count,state_benefit_details,website,sanctions,nazk_war_sponsor,registry_verified,sources
Grand,GRAND; ᲒᲠᲐᲜᲓ,Construction,Company,DONOR,Grand is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Natalia Khugaeva. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2016-10-04,2016-10-04,1,"2016-10-04: 60,000 GEL",Natalia Khugaeva (ნატალია ხუგაევა),Natalia Khugaeva,,ge-coreg-8bedc2b6e225c414c0577d9687e8f8c4f737e409,შპს Grand +,რეგისტრირებულია,"საქართველო, ქ. თბილისის, გლდანი-ნაძალადევის რაიონში, გლდანის VI მ/რ, კორ. 30, ბინა 95",No,0,,,,,,,,,,Yes,DONATIONWATCH
Tbilisi Repair Company,TBILISI REPAIR COMPANY; TBILISI REPIER KOMPANI; ᲗᲑᲘᲚᲘᲡᲘ ᲠᲔᲤᲘᲔᲠ ᲙᲝᲛᲞᲐᲜᲘ,Construction,Company,DONOR,Tbilisi Repair Company is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Hamid Reza Nasiri Pard & Japari Qolamreza. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2016-10-20,2016-10-20,1,"2016-10-20: 60,000 GEL",Hamid Reza Nasiri Pard & Japari Qolamreza (ჰამიდ რეზა ნასირი ფარდ & ჯაფარი ყოლამრეზა),Hamid Reza Nasiri Pard & Japari Qolamreza,,ge-coreg-033da96dea9d9759874afb10b4804eb948a9cdaf_3,შპს LISI,რეგისტრირებულია,"საქართველო, ქ. თბილისის, ისანი-სამგორის რაიონში, ჭირნახულის ქ., N2",No,0,,,,,,,,,,Yes,DONATIONWATCH
Aral-Petrol,ARALPETROL; ARALPETROLI; ᲐᲠᲐᲚᲞᲔᲢᲠᲝᲚᲘ,Energy & Mining,Company,DONOR,Aral-Petrol is a energy & mining company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2016-10-20,2016-10-20,1,"2016-10-20: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_37,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
New Light,NEW LIGHT; AKHALI NATEBA; ᲐᲮᲐᲚᲘ ᲜᲐᲗᲔᲑᲐ,Construction,Company,DONOR,New Light is a construction company that donated 60K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2016-10-20,2016-10-20,1,"2016-10-20: 60,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Badagoni,BADAGONI; ᲑᲐᲓᲐᲒᲝᲜᲘ,Agriculture & Wine,Company,DONOR,"Badagoni is a agriculture & wine company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Nugzari Jojua. Received approximately 8.0M GEL in state contracts, suggesting potential donor-contract correlation.",60000.0,2017-09-08,2017-09-08,1,"2017-09-08: 60,000 GEL",Nugzari Jojua (ნუგზარი ჯოჯუა),Nugzari Jojua,,ge-coreg-076ade999dbcb8ce9d48b2467e56df01baaf7dc0,შპს ბადაგონი ჯორჯია,რეგისტრირებულია,"საქართველო, თბილისი, დიდუბის რაიონი, წერეთლის გამზირი, N72",No,0,,,,8000000,6,"State Procurement: 8,000,000 GEL (2017-2024)",https://www.badagoni.com/,,,Yes,DONATIONWATCH
New Achara,NEW ACHARA; NIU ACHARA; ᲜᲘᲣ ᲐᲭᲐᲠᲐ,Construction,Company,DONOR,New Achara is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2017-11-02,2017-11-02,1,"2017-11-02: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_38,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Erkeri,ERKERI; ᲔᲠᲙᲔᲠᲘ,Construction,Company,DONOR,Erkeri is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2019-09-13,2019-09-13,1,"2019-09-13: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_39,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
TMS Construction,TMS CONSTRUCTION; TI EM ES KONSTRAKSHENI; ᲗᲘ ᲔᲛ ᲔᲡ ᲥᲝᲜᲡᲢᲠᲐᲥᲨᲔᲜᲘ,Construction,Company,DONOR,TMS Construction is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2019-09-13,2019-09-13,1,"2019-09-13: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_40,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Bildi,BILDI; ᲑᲘᲚᲓᲘ,Other,Company,DONOR,Bildi is a other company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Mikheil Mamrikishvili. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2019-10-16,2019-10-16,1,"2019-10-16: 60,000 GEL",Mikheil Mamrikishvili (მიხეილ მამრიკიშვილი),Mikheil Mamrikishvili,,ge-coreg-001b2ef3498cfef5cd60d2e2aef87abf9bd51dbf,შპს ბილდინგ გრუპ პარტნიორი,რეგისტრირებულია,"საქართველო, წყალტუბოს რაიონი, სოფ. რიონი",No,0,,,,,,,,,,Yes,DONATIONWATCH
Johntowers,JOHNTOWERS; JONTAUERS; ᲯᲝᲜᲗᲐᲣᲔᲠᲡ,Construction,Company,DONOR,Johntowers is a construction company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2021-08-16,2021-08-16,1,"2021-08-16: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_41,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
First Medical Center,FIRST MEDICAL CENTER; PIRVELI SAMEDITSINO TSENTRI; ᲞᲘᲠᲕᲔᲚᲘ ᲡᲐᲛᲔᲓᲘᲪᲘᲜᲝ ᲪᲔᲜᲢᲠᲘ,Healthcare,Company,DONOR,First Medical Center is a healthcare company that donated 60K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,60000.0,2021-12-10,2021-12-10,1,"2021-12-10: 60,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_42,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
T.N.T. 007,TNT 007,Other,Company,DONOR,T.N.T. 007 is a other company that donated 55K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,55000.0,2016-10-17,2016-10-17,1,"2016-10-17: 55,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Unigrain Georgian Group,UNIGRAIN GEORGIAN GROUP; IUNIGREIN JORJIAN GRUP; ᲘᲣᲜᲘᲒᲠᲔᲘᲜ ᲯᲝᲠᲯᲘᲐᲜ ᲒᲠᲣᲞ,Construction,Company,DONOR,Unigrain Georgian Group is a construction company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-09-20,2016-09-20,1,"2016-09-20: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_43,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
LIBERTY,LIBERTY,Other,Company,DONOR,LIBERTY is a other company that donated 50K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-09-22,2016-09-22,1,"2016-09-22: 50,000 GEL",,,,,,,,No,0,,,,,,,https://libertybank.ge/,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
House in Old Batumi,HOUSE IN OLD BATUMI; SAKHLI DZVEL BATUMSHI; ᲡᲐᲮᲚᲘ ᲫᲕᲔᲚ ᲑᲐᲗᲣᲛᲨᲘ,Construction,Company,DONOR,House in Old Batumi is a construction company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-09-22,2016-09-22,1,"2016-09-22: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_44,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Techimpex,TECHIMPEX; TEKIMPEKSI; ᲢᲔᲥᲘᲛᲞᲔᲥᲡᲘ,Technology,Company,DONOR,Techimpex is a technology company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-10-17,2016-10-17,1,"2016-10-17: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_45,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
My Voice,MY VOICE; MAI VOCHI; ᲛᲐᲘ ᲕᲝᲩᲘ,Media & Communications,Company,DONOR,My Voice is a media & communications company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-11-16,2016-11-16,1,"2016-11-16: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_46,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Tornado+,TORNADO; ᲢᲝᲠᲜᲐᲓᲝ,Trading & Distribution,Company,DONOR,Tornado+ is a trading & distribution company that donated 50K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2016-12-07,2016-12-07,1,"2016-12-07: 50,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Design-Research Institute Transproekti,DESIGNRESEARCH INSTITUTE TRANSPROEKTI; SAPROEKTOSAKVLEVADZIEBO INSTITUTI TRANSPROEKTI; ᲡᲐᲞᲠᲝᲔᲥᲢᲝᲡᲐᲙᲕᲚᲔᲕᲐᲫᲘᲔᲑᲝ ᲘᲜᲡᲢᲘᲢᲣᲢᲘ ᲢᲠᲐᲜᲡᲞᲠᲝᲔᲥᲢᲘ,Transport & Logistics,Company,DONOR,Design-Research Institute Transproekti is a transport & logistics company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2017-09-08,2017-09-08,1,"2017-09-08: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_47,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
LC Tbilisi,LC TBILISI; EL SI TBILISI; ᲔᲚ ᲡᲘ ᲗᲑᲘᲚᲘᲡᲘ,Trading & Distribution,Company,DONOR,LC Tbilisi is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Hamid Reza Nasiri Pard & Japari Qolamreza. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2017-09-14,2017-09-14,1,"2017-09-14: 50,000 GEL",Hamid Reza Nasiri Pard & Japari Qolamreza (ჰამიდ რეზა ნასირი ფარდ & ჯაფარი ყოლამრეზა),Hamid Reza Nasiri Pard & Japari Qolamreza,,ge-coreg-033da96dea9d9759874afb10b4804eb948a9cdaf_4,შპს LISI,რეგისტრირებულია,"საქართველო, ქ. თბილისის, ისანი-სამგორის რაიონში, ჭირნახულის ქ., N2",No,0,,,,,,,,,,Yes,DONATIONWATCH
Gopratara,GOPRATARA; ᲒᲝᲤᲠᲐᲢᲐᲠᲐ,Trading & Distribution,Company,DONOR,Gopratara is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2017-10-10,2017-10-10,1,"2017-10-10: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_48,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
CMC,CMC; TSMTS; ᲪᲛᲪ,Trading & Distribution,Company,DONOR,CMC is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Aleksandre Gonadze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2017-10-31,2017-10-31,1,"2017-10-31: 50,000 GEL",Aleksandre Gonadze (ალექსანდრე გონაძე),Aleksandre Gonadze,,ge-coreg-ee2d2c287e6fcee29107357bdee21e16163bd751,შპს CMC ჯგუფი,რეგისტრირებულია,"საქართველო, ქ. თბილისის ვაკე–საბურთალოს რაიონი, ვაჟაფშაველას გამზ. VI კვ. კორ. 12 ბ. 29",No,0,,,,,,,,,,Yes,DONATIONWATCH
Sinatle,SINATLE; ᲡᲘᲜᲐᲗᲚᲔ,Trading & Distribution,Company,DONOR,Sinatle is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2017-10-31,2017-10-31,1,"2017-10-31: 50,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_49,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Builders Group,BUILDERS GROUP; MSHENEBELTA JGUPI; ᲛᲨᲔᲜᲔᲑᲔᲚᲗᲐ ᲯᲒᲣᲤᲘ,Construction,Company,DONOR,Builders Group is a construction company that donated 50K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2019-09-13,2019-09-13,1,"2019-09-13: 50,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Imereti,IMERETI; ᲘᲛᲔᲠᲔᲗᲘ,Trading & Distribution,Company,DONOR,Imereti is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Sakhelmtsipo. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2021-08-24,2021-08-24,1,"2021-08-24: 50,000 GEL",Sakhelmtsipo (სახელმწიფო),Sakhelmtsipo,,ge-coreg-0036cb7e29ed0c7a33d872b8a1766a848418bdb8,შპს იმერეთი -2011,ლიკვიდირებულია,"საქართველო, ქუთაისი, სულხან-საბას III ჩიხი N2",No,0,,,,,,,,,,Yes,DONATIONWATCH
Sachashnike,SACHASHNIKE; ᲡᲐᲭᲐᲨᲜᲘᲙᲔ,Trading & Distribution,Company,DONOR,Sachashnike is a trading & distribution company that donated 50K GEL to Georgian Dream to date. The beneficial owner is Tornike Grdzelidze. No documented allegations of misconduct; included for transparency in political finance mapping.,50000.0,2021-09-10,2021-09-10,1,"2021-09-10: 50,000 GEL",Tornike Grdzelidze (თორნიკე გრძელიძე),Tornike Grdzelidze,,ge-coreg-023346a0a8ec2e83521c869e76cc8b89af38d019,შპს NIKE,აქტიური,"საქართველო, ქ. თბილისის, ვაკე-საბურთალოს რაიონში, შ.ნუცუბიძის ფერდ, IV მ/რ, კორ. 18, ბ. 46 ელექტრონული იურიდიული მისამართი: tkgrdzelidze1983@mail.ru",No,0,,,,,,,,,,Yes,DONATIONWATCH
Frego,FREGO; PREGO; ᲤᲠᲔᲒᲝ,Legal & Professional Services,Company,"SERVICE_PROVIDER, DONOR",Frego provides professional services to the Georgian Dream government or Ivanishvili's business interests. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,44500.0,2017-09-29,2017-10-10,2,"2017-09-29: 1,500 GEL | 2017-10-10: 43,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_50,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
NTL Holding,NTL HOLDING,Finance & Banking,Company,"FINANCIAL_INSTITUTION, DONOR",NTL Holding is a finance & banking institution that has provided banking services or financing within the Georgian political economy. No documented allegations of misconduct; included for transparency in political finance mapping.,40000.0,2016-10-19,2016-10-19,1,"2016-10-19: 40,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Arali,ARALI; ᲐᲠᲐᲚᲘ,Energy & Mining,Company,DONOR,Arali is a energy & mining company that donated 40K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,40000.0,2017-08-03,2017-08-03,1,"2017-08-03: 40,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_51,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Tsekuri,TSEKURI; ᲪᲔᲙᲣᲠᲘ,Trading & Distribution,Company,DONOR,Tsekuri is a trading & distribution company that donated 40K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,40000.0,2017-08-04,2017-08-04,1,"2017-08-04: 40,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_52,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Directorate for Supervision of Rehabilitation and Modernization of Highways,DIRECTORATE FOR SUPERVISION OF REHABILITATION AND MODERNIZATION OF HIGHWAYS; SAAVTOMOBILO GZEBIS REABILITATSIISA DA MODERNIZATSIIS ZEDAMKHEDVELOBIS DIREKTSIA; ᲡᲐᲐᲕᲢᲝᲛᲝᲑᲘᲚᲝ ᲒᲖᲔᲑᲘᲡ ᲠᲔᲐᲑᲘᲚᲘᲢᲐᲪᲘᲘᲡᲐ ᲓᲐ ᲛᲝᲓᲔᲠᲜᲘᲖᲐᲪᲘᲘᲡ ᲖᲔᲓᲐᲛᲮᲔᲓᲕᲔᲚᲝᲑᲘᲡ ᲓᲘᲠᲔᲥᲪᲘᲐ,Other,Company,DONOR,Directorate for Supervision of Rehabilitation and Modernization of Highways is a other company that donated 40K GEL to Georgian Dream to date. The beneficial owner is Volodimir Shvedi. No documented allegations of misconduct; included for transparency in political finance mapping.,40000.0,2017-08-10,2017-08-10,1,"2017-08-10: 40,000 GEL",Volodimir Shvedi (ვოლოდიმირ შვედი),Volodimir Shvedi,,ge-coreg-0834fcd406bef11dd8db84652221dd0beccce8a3,შპს DIRECT,რეგისტრირებულია,"საქართველო, ქ. თბილისის, ძველი თბილისის რაიონში, ქიაჩელის ქ., №7ა",No,0,,,,,,,,,,Yes,DONATIONWATCH
G & K Technology,G K TECHNOLOGY; G K TEKNOLOGI; Გ Კ ᲢᲔᲥᲜᲝᲚᲝᲒᲘ,Technology,Company,DONOR,G & K Technology is a technology company that donated 40K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,40000.0,2019-10-17,2019-10-17,1,"2019-10-17: 40,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_53,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Coca-Cola Bottlers Georgia,COCACOLA BOTTLERS GEORGIA; KOKAKOLA BOTLERS JORJIA; ᲙᲝᲙᲐᲙᲝᲚᲐ ᲑᲝᲗᲚᲔᲠᲡ ᲯᲝᲠᲯᲘᲐ,Food & Beverage,Company,DONOR,Coca-Cola Bottlers Georgia is a food & beverage company that donated 30K GEL to Georgian Dream to date. The beneficial owner is Besik Shervashidze. No documented allegations of misconduct; included for transparency in political finance mapping.,30000.0,2016-08-29,2016-08-29,1,"2016-08-29: 30,000 GEL",Besik Shervashidze (ბესიკ შერვაშიძე),Besik Shervashidze,,ge-coreg-1557bdda579d64e4be19be6472a2724b8f92f980,შპს კოკა-კოლა კახეთი,რეგისტრირებულია,"საქართველო, ქალაქი თელავი, ალაზნის გამზ., N99",No,0,,,,,,,https://www.coca-colahellenic.com,,,Yes,DONATIONWATCH
TRANZIT N,TRANZIT N,Technology,Company,DONOR,TRANZIT N is a technology company that donated 30K GEL to Georgian Dream to date. No documented allegations of misconduct; included for transparency in political finance mapping.,30000.0,2016-10-13,2016-10-13,1,"2016-10-13: 30,000 GEL",,,,,,,,No,0,,,,,,,,,,Yes,DONATIONWATCH; GE_COMPANY_REGISTRY
Roto Print,ROTO PRINT; ROTO PRINTI; ᲠᲝᲢᲝ ᲞᲠᲘᲜᲢᲘ,Media & Communications,Company,DONOR,Roto Print is a media & communications company that donated 30K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,30000.0,2017-07-28,2017-07-28,1,"2017-07-28: 30,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_54,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
Vitamin 2017,VITAMIN 2017; VITAMINI 2017; ᲕᲘᲢᲐᲛᲘᲜᲘ 2017,Healthcare,Company,DONOR,Vitamin 2017 is a healthcare company that donated 30K GEL to Georgian Dream to date. The beneficial owner is Kakha Kakhniashvili & Shota Khachidze. No documented allegations of misconduct; included for transparency in political finance mapping.,30000.0,2017-08-31,2017-08-31,1,"2017-08-31: 30,000 GEL",Kakha Kakhniashvili & Shota Khachidze (კახა კახნიაშვილი & შოთა ხაჩიძე),Kakha Kakhniashvili & Shota Khachidze,,ge-coreg-086da4b64eebcdca2287b18bf442f50118e93978_55,,რეგისტრირებულია,"საქართველო, თბილისი, გლდანი-ნაძალადევის რაიონი, თემქა III მ/რ, I კვ., კორ.№14, ბინა №19",No,0,,,,,,,,,,Yes,DONATIONWATCH
